order_number,booked_at,click_id,state,price_amount,price_currency,profit_amount,profit_currency
40825035,2025-09-03T12:13:21.533Z,3165189484035941984,cancelled,28776,rub,719.4,rub
40826959,2025-09-03T19:06:24.705Z,3165392297445485568,cancelled,27292,rub,682.3,rub
40825989,2025-09-03T15:53:34.176Z,3165289883353534624,paid,3822,rub,171.99,rub
40827105,2025-09-03T19:48:23.885Z,3165417374164313664,cancelled,12812,rub,320.3,rub
40824204,2025-09-03T09:03:21.450Z,3165091306645369472,paid,142738,rub,6423.21,rub
40824027,2025-09-03T08:28:09.307Z,3165076189738171648,paid,19345,rub,483.62,rub
40827226,2025-09-03T20:29:21.986Z,3165440089097662400,cancelled,22158,rub,553.95,rub
40824878,2025-09-03T11:33:44.713Z,3165166549694606336,paid,10468,rub,261.7,rub
40825885,2025-09-03T15:27:24.777Z,3165287704722914688,paid,23610,rub,944.4,rub
40826043,2025-09-03T16:03:49.372Z,3165306560418312128,paid,60594,rub,2726.73,rub
40823910,2025-09-03T08:03:00.543Z,3165062141888241376,paid,11590,rub,289.75,rub
40823021,2025-09-03T00:40:01.611Z,3164841526237682048,paid,16376,rub,655.04,rub
40824203,2025-09-03T09:03:14.556Z,3165093907199687936,paid,5690,rub,142.25,rub
40826061,2025-09-03T16:07:13.558Z,3165307721130005856,paid,12648,rub,505.92,rub
40823198,2025-09-03T03:59:10.973Z,3164941556773867168,cancelled,12533,rub,313.33,rub
40825946,2025-09-03T15:42:29.086Z,3165293551446615072,cancelled,26763,rub,669.08,rub
40824882,2025-09-03T11:34:43.178Z,3165170958460338336,cancelled,5071,rub,126.78,rub
40826942,2025-09-03T19:03:07.223Z,3165394815267866688,cancelled,32863,rub,821.58,rub
40826938,2025-09-03T19:02:48.340Z,3165396682479732800,cancelled,15493,rub,387.33,rub
40827384,2025-09-03T21:38:23.205Z,3165474830081022464,cancelled,4632,rub,115.8,rub
40825471,2025-09-03T13:52:14.497Z,3165239293351257120,paid,14620,rub,657.9,rub
40826532,2025-09-03T17:49:38.868Z,3165356194215254752,paid,158952,rub,7152.84,rub
40823242,2025-09-03T04:34:42.369Z,3164958921814583456,cancelled,7756,rub,0,rub
40824787,2025-09-03T11:09:27.166Z,3165157564478996640,paid,11722,rub,293.05,rub
40825884,2025-09-03T15:26:57.459Z,3165288236099727296,cancelled,5673,rub,0,rub
40825030,2025-09-03T12:12:11.497Z,3165188470532712032,paid,6973,rub,174.33,rub
40825636,2025-09-03T14:26:01.133Z,3165255293983482912,paid,62338,rub,2805.21,rub
40823853,2025-09-03T07:50:06.906Z,3165056716784032416,paid,15027,rub,676.22,rub
40823934,2025-09-03T08:06:15.191Z,3165054060162210464,cancelled,219115,rub,5477.88,rub
40824527,2025-09-03T10:12:51.779Z,3165128796089496192,cancelled,11331,rub,283.28,rub
40825133,2025-09-03T12:34:32.393Z,3165200770196985248,cancelled,20968,rub,524.2,rub
40824578,2025-09-03T10:24:47.300Z,3165135554380302336,cancelled,12103,rub,302.58,rub
40827048,2025-09-03T19:32:02.863Z,3165411538654883776,cancelled,18982,rub,474.55,rub
40824164,2025-09-03T08:57:10.826Z,3165091109633421248,paid,14114,rub,352.85,rub
40825354,2025-09-03T13:24:14.172Z,3165225477013738048,paid,17357,rub,781.06,rub
40826972,2025-09-03T19:09:46.732Z,3165399464570679232,cancelled,12533,rub,313.33,rub
40826681,2025-09-03T18:13:58.523Z,3165371229478083296,cancelled,23920,rub,0,rub
40824426,2025-09-03T09:51:08.503Z,3165118897817268864,cancelled,10168,rub,254.2,rub
40824482,2025-09-03T10:02:13.470Z,3165123227781837440,paid,9823,rub,442.03,rub
40826299,2025-09-03T17:00:41.562Z,3165334076865309696,paid,13804,rub,345.1,rub
40824860,2025-09-03T11:28:44.978Z,3165168075329925056,cancelled,23614,rub,0,rub
40825575,2025-09-03T14:12:30.393Z,3165250566912447040,paid,79118,rub,3560.31,rub
40825798,2025-09-03T15:02:11.645Z,3165274492380102016,paid,18001,rub,450.03,rub
40824232,2025-09-03T09:09:21.723Z,3165096786639715584,cancelled,7376,rub,184.4,rub
40825461,2025-09-03T13:49:17.798Z,3165237322414253088,cancelled,30460,rub,761.5,rub
40823346,2025-09-03T05:15:19.091Z,3164978800381945248,cancelled,11590,rub,0,rub
40824568,2025-09-03T10:23:13.315Z,3165134420944696000,cancelled,4473,rub,0,rub
40826287,2025-09-03T16:59:10.263Z,3165332289269722112,paid,74866,rub,3368.97,rub
40823326,2025-09-03T05:09:53.146Z,3164977235218441568,cancelled,36996,rub,924.9,rub
40824142,2025-09-03T08:52:59.778Z,3165088845167735424,cancelled,126380,rub,3159.5,rub
