Номера заказа,,Дата сделки,Вид операции,Вид возврата / обмена,Лид,АК,Тип,Классификация направлений,Price,CPA,"CPA, руб."
40837736,06-09-2025,SALE,,d1,"JU,QR",Регулярка,OW,"174,781.00",0.045,"7,865.15",
40877964,15-09-2025,SALE,,d1,JU,Регулярка,OW,"176,724.00",0.045,"7,952.58",
40821151,02-09-2025,SALE,,d1,ТК,Чартер,RT,"132,612.02",0.045,"5,967.54",
40838318,06-09-2025,SALE,,d1,JU,Регулярка,OW,"170,171.00",0.045,"7,657.70",
40842473,07-09-2025,SALE,,d1,EY,Регулярка,RT,"252,739.00",0.045,"11,373.26",
40842473,07-09-2025,SALE,,d1,EY,Регулярка,RT,"252,739.00",0.045,"11,373.26",
40851289,09-09-2025,SALE,,d1,EK,Регулярка,RT,"190,593.00",0.045,"8,576.69",
40816310,01-09-2025,SALE,,d1,КЛ,Чартер,OW,475.50,0.04,19.02,
40823043,08-09-2025,REFUND,В,d1,СУ,Чартер,OW,"-4,136.00",0.025,-103.40,
40837990,06-09-2025,SALE,,d1,GF,Регулярка,RT,"150,026.00",0.045,"6,751.17",
40865356,12-09-2025,SALE,,d1,EK,Регулярка,RT,"112,620.00",0.045,"5,067.90",
40870938,13-09-2025,SALE,,d1,EK,Регулярка,RT,"112,329.00",0.045,"5,054.81",
40870938,13-09-2025,SALE,,d1,EK,Регулярка,RT,"112,329.00",0.045,"5,054.81",
40873093,14-09-2025,SALE,,d1,"NH,TG",Регулярка,OW,"123,077.00",0.045,"5,538.47",
40823187,04-09-2025,REFUND,В,d1,СУ,Чартер,OW,"-3,852.00",0.025,-96.30,
40850318,09-09-2025,SALE,,d1,QR,Регулярка,RT,"112,925.00",0.045,"5,081.63",
40872612,14-09-2025,SALE,,d1,QR,Регулярка,RT,"127,699.00",0.045,"5,746.46",
40848569,09-09-2025,SALE,,d1,"UA,ТК",Регулярка,RT,"97,282.00",0.045,"4,377.69",
40869828,13-09-2025,SALE,,d1,JU,Регулярка,RT,"129,274.00",0.045,"5,817.33",
40874380,14-09-2025,SALE,,d1,JU,Регулярка,RT,"129,274.00",0.045,"5,817.33",
40825710,03-09-2025,SALE,,d1,2S,Чартер,OW,"7,154.37",0.045,321.95,
40827200,03-09-2025,SALE,,d1,СУ,Чартер,OW,26.00,0.025,0.65,
40834310,05-09-2025,SALE,,d1,JU,Регулярка,RT,"124,488.00",0.045,"5,601.96",
40876762,15-09-2025,SALE,,d1,JU,Регулярка,RT,"123,454.00",0.045,"5,555.43",
40865463,12-09-2025,SALE,,d1,JU,Регулярка,RT,"123,075.00",0.045,"5,538.38",
40875367,14-09-2025,SALE,,d1,SV,Регулярка,RT,"121,384.00",0.045,"5,462.28",
40852410,09-09-2025,SALE,,d1,ТК,Регулярка,RT,"89,692.00",0.045,"4,036.14",
40843996,08-09-2025,SALE,,d1,EK,Регулярка,RT,"88,227.00",0.045,"3,970.22",
40873574,14-09-2025,SALE,,d1,JU,Регулярка,RT,"121,359.00",0.045,"5,461.16",
40849718,09-09-2025,SALE,,d1,JU,Регулярка,RT,"120,981.00",0.045,"5,444.15",
40852443,09-09-2025,SALE,,d1,NH,Регулярка,RT,"100,126.00",0.045,"4,505.67",
40819277,02-09-2025,SALE,,d1,EK,Регулярка,RT,"133,679.00",0.045,"6,015.56",
40815487,01-09-2025,SALE,,d1,AF,Регулярка,RT,"96,498.00",0.045,"4,342.41",
40849165,09-09-2025,SALE,,d1,JU,Регулярка,RT,"115,723.00",0.045,"5,207.54",
40849165,09-09-2025,SALE,,d1,JU,Регулярка,RT,"115,723.00",0.045,"5,207.54",
40845357,08-09-2025,SALE,,d1,JU,Регулярка,RT,"115,549.00",0.045,"5,199.71",
40845357,08-09-2025,SALE,,d1,JU,Регулярка,RT,"115,549.00",0.045,"5,199.71",
40879401,15-09-2025,SALE,,d1,JU,Регулярка,RT,"114,084.00",0.045,"5,133.78",
40879401,15-09-2025,SALE,,d1,JU,Регулярка,RT,"114,084.00",0.045,"5,133.78",
